model,clean_f1,worst_f1_drop,worst_fnr,mean_seed_std,train_s,score_clean,score_robust,score_safety,score_stability,score_speed,composite
pca,0.8133982923277462,0.045344464967281506,0.34704422474470076,0.004257097626907305,1.5366329352060955,0.5346324398864762,0.9327092664370977,1.0,0.9597749650470991,1.0,0.8395445450799272
svm,0.814403611283577,0.0681817566730083,0.36099922698238335,0.0030477720167458033,17.11194618542989,0.5407816594772217,0.8988187706813433,0.9675837112401259,1.0,0.9407015946110387,0.8229052777846376
histogram,0.7711882460226542,0.006642423661928909,0.37491354408234673,0.0036575076043559133,4.076375087102254,0.27644687384286626,0.9901430192436607,0.935261930610747,0.9797187497580832,0.9903306818112049,0.7612902427733905
autoencoder,0.868973484372551,0.3913387070074465,0.3610805972578217,0.022696688427511536,122.21335585912068,0.874568395236028,0.4192544950713136,0.9673946949791354,0.3464304875639522,0.5405590165673992,0.6977317664965558
iforest,0.7331331275564182,2.444948674629188e-07,0.41189633426909156,0.007147719912563876,4.469422896703084,0.0436756934692376,1.0,0.8493540399905559,0.8636260193048176,0.9888342683537985,0.6606872468042719
mcd,0.7259927088568224,0.12551582611976508,0.3683632369095569,0.0200901035507897,6.225282192230225,0.0,0.8137351249372125,0.950477739620484,0.4331316761378353,0.9821493526388194,0.5825813190170895
cluster,0.7542979530782201,0.18244167894525198,0.39391350339720904,0.03311177597789813,6.874200026194255,0.17313426875872892,0.7292572718522481,0.8911266336694608,0.0,0.9796787896289889,0.5550041359709448
lof,0.8761124375162378,0.6597287694748658,0.7161804792709224,0.009886229481745645,36.47597368558248,0.9182351243611095,0.020964172814852633,0.1425277320165087,0.7725367029010419,0.8669787786252644,0.48029506166880387
lstm_ae,0.8894799515865817,0.5663175383587398,0.7775377442544519,0.017114435349090035,107.65748079617818,1.0,0.15958625517355018,0.0,0.5321094505402311,0.5959762121259562,0.45270513006000623
abod,0.8743601163951013,0.6738555893771909,0.7738720045567354,0.004661283057543651,249.83364144961038,0.9075167276723043,0.0,0.008515202974230585,0.9463308000197588,0.054682468903670456,0.3744851459375919
knn,0.848238999782701,0.648191815405344,0.7664266243541235,0.0035058822338395524,264.19653328259784,0.7477420799612419,0.03808498985242692,0.025810190854863135,0.9847621688153813,0.0,0.3387726360467332
