accuracy,precision,recall,f1,tp,tn,fp,fn,fnr,fpr,roc_auc,pr_auc,model,seed,attack,poison_rate,time,split_type,effective_contamination,n_injected,threshold,n_features,noise_sigma
0.966349573257468,0.930628272251309,0.7810325887953131,0.8492932510451922,6399,58818,477,1794,0.21896741120468693,0.008044523146976979,0.9707926079273113,0.911836675330944,knn,123,feature_noise,0.1,202.62395000457764,random,0.0,27670,0.48294103161969804,44,0.15
0.9612523707918444,0.9665439946470391,0.7052361772244599,0.8154682097240844,5778,59095,200,2415,0.2947638227755401,0.003372965680074205,0.9036121496216369,0.8314426483650541,svm,456,feature_noise,0.1,14.552145957946777,random,0.0,27670,4.862799773330271,44,0.15
0.9709874348032242,0.942889615002131,0.8100817771268156,0.8714548319327731,6637,58893,402,1556,0.18991822287318444,0.006779661016949152,0.9513200670142782,0.9057150361171549,autoencoder,42,feature_noise,0.1,122.42117404937744,random,0.0,27670,0.0013958512572571635,44,0.15
0.9712689663347558,0.9449345475241889,0.8105699987794459,0.8726102095788713,6641,58908,387,1552,0.18943000122055415,0.006526688590943588,0.9542515984354881,0.9057444672777558,autoencoder,456,feature_noise,0.1,124.28713726997375,random,0.0,27670,0.001453512697480619,44,0.15
0.9708837126600285,0.9536713286713286,0.7989747345294764,0.8694959155210201,6546,58977,318,1647,0.20102526547052363,0.005363015431317986,0.9792557896839598,0.927314387135058,abod,123,feature_noise,0.1,165.66733860969543,random,0.0,27670,-3.072696192508927,44,0.15
0.9608078473210052,0.9871794871794872,0.6860734773587208,0.8095340966371426,5621,59222,73,2572,0.3139265226412791,0.001231132473227085,0.8998822065943126,0.8213578609207773,pca,456,feature_noise,0.1,1.386702299118042,random,0.0,27670,1603.4845562382366,44,0.15
0.9613560929350403,0.9822137800034536,0.6942511900402782,0.8135011441647597,5688,59192,103,2505,0.3057488099597217,0.0017370773252382158,0.9010072407091555,0.8221334717643428,pca,42,feature_noise,0.1,1.36055326461792,random,0.0,27670,1127.2024200307487,44,0.15
0.9313638305981268,0.9937153419593345,0.7873750503460144,0.8785928785928786,21504,59140,136,5807,0.21262494965398557,0.002294351845603617,0.9737366679655921,0.9525732474471635,lstm_ae,456,feature_noise,0.1,89.35865712165833,contiguous_normal,0.0,27670,0.007879496552050114,44,0.15
0.9709577999051683,0.93999717633771,0.8126449408031247,0.871694160775072,6658,58870,425,1535,0.18735505919687537,0.007167552070157686,0.9801530508393268,0.9275904260679904,abod,42,feature_noise,0.1,171.10039281845093,random,0.0,27670,-4.1872068385527506,44,0.15
0.9739657420578474,0.9335758555645378,0.8457219577688271,0.8874799871918028,6929,58802,493,1264,0.15427804223117295,0.008314360401382916,0.9748798483898654,0.9264130807150547,lof,42,feature_noise,0.1,11.092333316802979,random,0.0,27670,2.335646984377214,44,0.15
0.9584666903745851,0.9916089018606348,0.6634932259245697,0.7950274223034735,5436,59249,46,2757,0.3365067740754302,0.0007757821064170672,0.9251301165355937,0.8274192313874537,mcd,42,feature_noise,0.1,5.692315578460693,random,0.0,27670,713899135.5924127,44,0.15
0.9536806543385491,0.9488042515500443,0.6537287928719638,0.7741003035120683,5356,59006,289,2837,0.3462712071280361,0.004873935407707227,0.8731012378481455,0.770828169401533,histogram,123,feature_noise,0.1,1.647923231124878,random,0.0,27670,-60.885043552145696,44,0.15
0.9534287577050735,0.9904817404817405,0.6223605516904674,0.7644104639832097,5099,59246,49,3094,0.37763944830953255,0.0008263765916181803,0.8880522962416928,0.7967908052250532,cluster,123,feature_noise,0.1,1.4524030685424805,random,0.0,27670,1.6658407764408956,44,0.15
0.9584518729255571,0.9950395002755833,0.6610521176614182,0.7943678498093283,5416,59268,27,2777,0.3389478823385817,0.0004553503668100177,0.9251381218227472,0.830096732132865,mcd,123,feature_noise,0.1,5.861562252044678,random,0.0,27670,1098400807.452105,44,0.15
0.9503615457562826,0.9896865520728008,0.5973391919931649,0.7450144618663419,4894,59244,51,3299,0.4026608080068351,0.0008601062484189224,0.8631899636630156,0.7611850673502173,iforest,123,feature_noise,0.1,3.6806375980377197,random,0.0,27670,0.06580989711577834,44,0.15
