index,model,noise_sigma,f1_mean,f1_std,n_seeds
0,abod,0.15,0.8672982514889386,0.005815021700410653,3
1,abod,0.3,0.8627322975869708,0.005425909611217452,3
2,abod,0.5,0.8691483031804194,0.003091776440820942,3
3,abod,1.0,0.8715579213995932,0.003324971267686528,6
4,autoencoder,0.15,0.873277440667568,0.0022323084769492246,3
5,autoencoder,0.3,0.8731531649340516,0.00421252340873989,3
6,autoencoder,0.5,0.8687744502878273,0.004458989327650065,3
7,autoencoder,1.0,0.8612007769808843,0.004633222440974822,6
8,cluster,0.15,0.7548744510681699,0.009987618558888512,3
9,cluster,0.3,0.7600603171516737,0.004332520871760835,3
10,cluster,0.5,0.7483451814101625,0.006940499956043363,3
11,cluster,1.0,0.7463227485089322,0.00402192737804983,6
12,histogram,0.15,0.7704522124976206,0.0036759519943176952,3
13,histogram,0.3,0.7707503219836157,0.004028131426070861,3
14,histogram,0.5,0.7706420407658499,0.0037112413665381754,3
15,histogram,1.0,0.7712508575924583,0.0029872866496037406,6
16,iforest,0.15,0.7419438212218266,0.013806423439797702,3
17,iforest,0.3,0.7480649933529474,0.010513154382419785,3
18,iforest,0.5,0.7527617648482047,0.009893823320986435,3
19,iforest,1.0,0.7516607301428464,0.007551646632128796,6
20,knn,0.15,0.846349574935929,0.004363940556970704,3
21,knn,0.3,0.8446837922625701,0.0024980543720464154,3
22,knn,0.5,0.8375273897188428,0.0013764539323341779,3
23,knn,1.0,0.8364977840296369,0.004517287116426118,6
24,lof,0.15,0.8833408882182249,0.011724880327077924,3
25,lof,0.3,0.8819588362110622,0.018513170903260084,3
26,lof,0.5,0.8706150594373775,0.019482498492967674,3
27,lof,1.0,0.8467575596507694,0.02328488989749601,6
28,lstm_ae,0.15,0.8788166845261726,0.00022942914509698137,3
29,lstm_ae,0.3,0.8783652636001335,0.00021514739004514338,3
30,lstm_ae,0.5,0.8907881843395559,0.012402473408515155,3
31,lstm_ae,1.0,0.7394544853527467,0.2224001164813081,6
32,mcd,0.15,0.7906701317272549,0.00698363317569204,3
33,mcd,0.3,0.791923982922799,0.005387506746096211,3
34,mcd,0.5,0.7915021990860481,0.00522469158203827,3
35,mcd,1.0,0.7238859968387473,0.0034515303528999787,6
36,pca,0.15,0.8133982923277463,0.0038138100647906945,3
37,pca,0.3,0.8133982923277463,0.003813810064790653,3
38,pca,0.5,0.8133982923277463,0.003813810064790653,3
39,pca,1.0,0.8133982923277463,0.0034111754232578994,6
40,svm,0.15,0.813240682230309,0.0024518161244936323,3
41,svm,0.3,0.8135885158619919,0.0011398848760257937,3
42,svm,0.5,0.813306751129633,0.0013933445868861082,3
43,svm,1.0,0.8098569531175611,0.00025697234792814284,6
